Data Series,Total,Manufacturing,Construction,Wholesale Trade,Retail Trade,Transportation & Storage,Accommodation,Food & Beverage Services,Information & Communications,Finance & Insurance,Real Estate,Professional Services,Administrative & Support Services,"Education, Health & Social Services","Arts, Entertainment, Recreation & Other Services",Others
2022-12-01,5135,197,247,804,422,172,3,214,693,678,56,879,196,257,293,24
2022-11-01,5661,232,266,901,410,216,6,233,777,703,60,983,212,296,330,36
2022-10-01,5112,192,251,829,405,218,3,289,691,592,75,780,199,238,322,28
2022-09-01,5669,192,290,855,455,226,8,322,743,723,80,909,228,282,330,26
2022-08-01,5859,216,291,912,523,243,19,295,856,703,59,897,209,227,379,30
2022-07-01,5437,190,236,808,472,218,9,302,723,736,51,900,200,229,336,27
2022-06-01,5370,196,306,754,384,229,7,303,763,698,50,857,186,222,383,32
2022-05-01,5149,198,259,751,379,207,5,260,734,610,66,884,190,239,342,25
2022-04-01,5455,203,268,723,376,220,2,301,729,818,74,887,192,215,424,23
2022-03-01,5651,226,315,717,504,238,5,310,858,720,78,891,177,236,344,32
2022-02-01,4717,207,281,578,391,205,4,234,729,622,44,764,159,209,268,22
2022-01-01,5089,188,251,691,462,196,3,272,760,704,49,839,174,223,255,22
2021-12-01,5112,196,240,683,415,211,5,268,828,746,51,765,157,213,298,36
2021-11-01,5356,199,251,770,477,218,11,271,831,777,56,761,172,247,286,29
2021-10-01,5268,203,229,625,749,232,6,312,632,719,64,803,146,242,267,39
2021-09-01,5385,226,256,652,728,220,2,334,658,734,64,800,154,248,291,18
2021-08-01,5381,216,250,675,794,255,7,288,588,708,52,808,152,266,293,29
2021-07-01,5587,248,256,722,725,247,5,306,621,759,57,808,191,262,341,39
2021-06-01,5470,237,238,683,740,262,5,293,686,698,65,825,154,261,301,22
2021-05-01,5091,190,228,634,701,230,9,296,602,635,40,829,129,267,269,32
2021-04-01,5844,236,265,712,706,266,4,400,661,693,69,910,203,322,363,34
2021-03-01,6400,264,298,806,834,262,4,444,728,730,73,956,197,329,434,41
2021-02-01,4592,181,216,599,595,204,2,298,470,521,40,768,146,272,255,25
2021-01-01,5952,267,292,777,807,261,4,424,566,627,69,948,190,340,344,36
2020-12-01,5405,212,249,762,776,213,5,355,558,568,73,819,164,294,325,32
2020-11-01,5633,237,238,849,832,221,4,359,578,560,57,847,178,299,329,45
2020-10-01,6384,251,277,990,954,280,10,428,611,592,95,946,214,320,372,44
2020-09-01,6047,231,237,1043,900,270,9,366,609,581,63,885,175,299,348,31
2020-08-01,6210,264,205,1205,955,318,6,336,705,474,43,931,179,245,314,30
2020-07-01,6100,247,214,1232,965,286,3,315,595,529,53,837,188,287,325,24
2020-06-01,5563,241,148,1043,995,268,2,237,617,442,44,790,192,235,273,36
2020-05-01,3804,155,92,692,668,169,2,135,420,349,30,597,102,187,169,37
2020-04-01,3768,130,102,693,543,232,5,138,444,365,21,632,112,177,153,21
2020-03-01,4969,205,226,852,480,212,6,216,489,531,51,877,246,267,268,43
2020-02-01,4515,131,209,741,399,215,6,204,491,481,47,863,231,235,235,27
2020-01-01,5082,167,205,899,476,240,5,196,547,530,53,960,244,283,251,26
